Gmt time,Open,High,Low,Close,Volume
01.08.2020 00:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 01:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 02:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 03:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 04:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 05:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 06:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 07:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 08:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 09:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 10:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 11:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 12:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 13:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 14:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 15:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 16:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 17:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 18:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 19:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 20:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 21:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 22:00:00.000,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 23:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 00:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 01:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 02:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 03:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 04:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 05:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 06:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 07:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 08:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 09:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 10:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 11:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 12:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 13:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 14:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 15:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 16:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 17:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 18:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 19:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 20:00:00.000,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 21:00:00.000,1.17725,1.17781,1.17717,1.17747,222.03349999999995
